description,message_id
"RFD process initialization failed",323001
"MESHD process initialization failed.Cause: MESHD process initialization failed possibly because the mesh-node is not correctly provisioned.Recommended Action: Re-provision the AP. Contact your technical support provider if this problem persists.",330203
"MESHD process exiting.Cause: No MESH role was specified.Recommended Action: Re-provision the AP. Contact your technical support provider if this problem persists.",330204
"MESHD process exiting.Cause: No MESH cluster profile was specified.Recommended Action: Re-provision the AP. Contact your technical support provider if this problem persists.",330205
"No description available.",341008
"Some evaluation licenses will expire in the stated number of days.For feature licenses",300109
"Feature licenses have expired and the controller is reloading in order to deactivate the features",300114
"Licenses contributed by the client will expire in the stated number of days. At this level",300146
"Warning indicating that the VRRP Master received Advertisement with lower priority which is ignored.",313333
"No description available.",334529
"No description available.",341007
"[func:%s]: [line:%d]: out of memory. Recommended Action: The AP is upgrading image from awc.Critical MessagesTable 6 Critical System MessagesError IDMessage and Description",341091
"Some evaluation licenses will expire in the stated number of days.Recommended Action: For feature licenses",300108
"At initialization time",300117
"Licenses sent by the server will expire in the stated number of days. At this level",300144
"Licenses contributed by the client will expire in the stated number of days. At this level",300157
"The license manager failed to query its database. This error is fatal and the process will restartRecommended Action: If the error persists",300182
"The license manager failed to query its database. This error is fatal and the process will restartRecommended Action: If the error persists",300183
"An ODBC error has occurred when creating the License DB. Recommended Action: No description available.",300187
"We are running low on memory. Please clean-up your flash files ystem. If this problem persists please report it to technical support.Recommended Action: Clean-up the flash file system.If this problem persists contact your technical support provider.",303040
"This should not happen",303048
"No description available.",303087
"No description available.",303088
"No description available.",303089
"No description available.",303090
"No description available.",303091
"Network configuration is incorrect. A local switch in the network has the same IP address as the master.Recommended Action: Validate network configuration and addressing of local and master controller",307087
"This shows a critical error message in IF-MAP Client.",309001
"No description available.",313109
"Turning off the port as the POE is oversubscribed",314806
"This syslog describes the reason the switch was rebooted",315382
"System has reached maximum user capacity. Recommended Action: Limit of the system has been reached.",325017
"System has reached max xSec user capacity",325026
"System has reached max capacity of Advanced Crypto users",325028
"The system reported an error while trying to read regulatory domain information from the system hardware. As a result",334001
"The number of OSPFv2 network routes exceeds the forwarding table limit of [num:%d] routes",334544
"Failed to add OSPFv2 route because routing table is full",334545
"Discarding LSA because LS database is full. LS database contains [num:%u] LSAs",334546
"A card Tempertaure is too high.Recommended Action: Assure that ambient temperture is not too high and that airflow is unrestricted around the chassis vents.",335002
"Top slot M3 is not able to talk to the bottom slot M3.Recommended Action: Please check the Bottom slot to make sure it is operational",335008
"No description available.",341006
"This log indicates that the system was unable to initialize a system component. This could be a transient condition and the problem might go awayRecommended Action: In case the problem persists",399811
"Unexpected condition occurred in the mobility manager (mobileip) Recommended Action: Contact your support provider.",300000
"Unexpected condition occurred in the mobility manager (mobileip) Recommended Action: Contact your support provider",300005
"Unexpected condition occurred in the mobility manager (mobileip) Recommended Action: Contact your support provider",300006
"Unexpected condition occurred in the mobility manager (mobileip) Recommended Action: Contact your support provider",300007
"The license manager failed to initialize its database. This error is fatal and the process will restart.Recommended Action: If the error persist",300101
"Backplane locking failed due to an inability to communicate with the datapath for the indicated opcode.Recommended Action: If the error persist",300102
"Backplane locking failed due to an inability to allocate memory Recommended Action: If the error persist",300103
"A serial number mismatch has been detected for the specified key",300110
"A model number mismatch has been detected for the specified key",300111
"An invalid limit key has been detected",300112
"An invalid feature key has been detected",300113
"An SQL error occurred while executing the indicated command. Recommended Action: If the error persist",300116
"The indicated license key could not be deleted. The preceding message indicates the SQL error.",300119
"During an upgrade from an older release",300120
"Clearing all the licenses failed.Cause: The preceding error indicates the SQL failure.",300121
"Changing the activation status of one or more keys failed. Cause: The preceding message indicated the SQL failure.",300123
"Internal communication between licensing and other applications has failed.Recommended Action: Reload the controller. If the problem persist",300124
"Internal communication between licensing and other applications has failed. Reload the controller.Recommended Action: If the problem persist",300125
"The software was unable to obtain the system serial number. Licensed functions will not workRecommended Action: Contact your service provider.",300127
"Encrypting the installation time for the key failed.Recommended Action: If the problem persists",300129
"Decrypting the installation time for a key failed.Recommended Action: If the problem persists",300130
"After adding a license that requires a configuration file update",300131
"A serial number mismatch has been detected for the specified key. Cause: This is generally due to swapping flash modules or importing a license databasefrom another controller.Recommended Action: Contact your support provider",300133
"A model number mismatch has been detected for the specified key. Cause: This is generally due to swapping flash modules or importing a license databasefrom another controller.Recommended Action: Contact your support provider",300134
"A serial number mismatch has been detected for the specified key.Cause: This is generally due to swapping flash modules or importing a license database from another controller.",300135
"A model number mismatch has been detected for the specified key.Cause: This is generally due to swapping flash modules or importing a license database from another controller.",300136
"An SQL error occurred while looking up a license key.",300137
"An SQL error occurred when exporting the database.",300142
"An SQL error occurred when importing the database.",300147
"Platform upgrade is not supported to the new platform from the existing platform.",300152
"This key contains a feature which is not allowed on this variant.",300154
"The keys cannot be added as the Eval key for the feature is older.",300155
"A complete key is already installed; only one is allowed.",300156
"Dropping the cmd to add key as key is already present.",300163
"Dropping the cmd to delete key as key is not present",300164
"Failed to create a new License Database.",300174
"License report aborted due to a failure in file open.",300179
"License report generation failed.",300180
"The license manager failed to initialize its database. This error is fatal and the process will restartRecommended Action: If the error persists",300181
"An error occurred while retrieving the license records as there are multiple License Entries.",300189
"There is no license entry matching the particular key.",300190
"No license entry found in the License DB.",300195
"Operation failed when trying to sync the configuration with the MMS server.Cause: This could be due to the MMS server not properly configured",300201
"The system reported an error while trying to send an internal PAPI message to the trap daemon for trap processing. As a result",301003
"The system reported an error while initializing the SNMP process and itø€™s unable to bind to the SNMP port. As a result",301010
"At startup",301011
"At startup",301012
"The SNMP server failed to create an SNMP PDU used for SNMP response due to an invalid data length",301014
"The SNMP server failed to create an SNMP PDU used for an SNMP response. An SNMP response will not be generated.",301016
"The SNMP server failed to create an SNMP PDU used for an SNMP response due to a failure in creating a var bind for the PDU response. An SNMP response will not be generated.",301025
"The SNMP server reported an error while creating a new OID from 2 OIDs",301048
"The SNMP server reported an error while handling an SNMP PDU",301050
"The SNMP server reported an error while handling SNMP varbinds",301067
"The SNMP server reported an error while handling an octet string varbind",301083
"The SNMP server reported an error while handling an OID",301084
"The SNMP server detected an invalid data type while parsing a PDU",301096
"The SNMP server reported an error while parsing an SNMP message",301126
"The SNMP server was unable to allocate memory for an octet string",301131
"The SNMP server reported an invalid SNMP engine ID algorithm request",301132
"The SNMP server reported an invalid SNMP v3 message ID Recommended Action: If the error persists",301136
"The SNMP server received an SNMP v3 message that exceeds the maximum supported message size.Recommended Action: If the error persists",301138
"The SNMP server received an invalid security level while creating an SNMPv3 messageRecommended Action: If the error persists",301173
"The SNMP server encountered an internal error while creating a new entry for an SNMP user or hostArubaOS 6",301178
"The SNMP server encountered an internal error while creating a search string while adding or modifiying a host",301187
"The SNMP server encountered an internal error while creating a search string while adding or modifiying a host",301202
"The SNMP server encountered an invalid security level or model for SNMP v3 authentication",301206
"The SNMP server encountered an internal error while modifying an internal host",301207
"The SNMP server encountered an internal error while deleting an internal host",301212
"The SNMP server encountered an internal error while converting dot notation name to its OIDRecommended Action: If the error persists",301213
"The SNMP server encountered an internal error while creating an OID Recommended Action: If the error persists",301214
"The SNMP server encountered an internal error while converting an OID to a dot notation stringRecommended Action: If the error persists",301216
"The SNMP server encountered an internal error while creating a varbind Recommended Action: If the error persists",301218
"The SNMP server encountered an internal error while creating a varbind Recommended Action: If the error persists",301219
"The SNMP server encountered an internal error while creating an SNMPv3 report PDURecommended Action: If the error persists",301220
"The SNMP server encountered an internal error while creating an SNMPv3 report PDURecommended Action: If the error persists",301221
"Could not parse reqid in encrypted message.You may have just got an error in ParseType",301222
"The SNMP server encountered an internal error while initializing the standard MIB",301223
"The SNMP server encountered an internal error while initializing the enterprise MIB",301224
"The system reported an error when the SNMP process received a zero length packetRecommended Action: If the error persists",301227
"The SNMP process received a SNMP v3 request with an unknown contextRecommended Action: Verify that the credentials used for the SNMP v3 request is valid",301240
"The SNMP process was unable to create a SNMP response Recommended Action: If the error persists",301247
"The TRAPD process is unable to bind to the SNMP trap port Recommended Action: If the error persists",301249
"The TRAPD process is unable to send a trap to a trap host Recommended Action: If the error persists",301250
"The TRAPD process couldnø€™t find the trap host receiving a generated trap Recommended Action: If the error persists",301254
"The TRAPD process is unable to parse an SNMP v3 inform response Recommended Action: If the error persists",301259
"The TRAPD process is unable to parse an SNMP v3 inform response Recommended Action: If the error persists",301261
"The TRAPD/SNMPD process is unable to edit an SNMPv3 security group entryRecommended Action: If the error persists",301287
"The TRAPD/SNMPD process is unable to add an SNMPv3 security userRecommended Action: Please verify that the SNMPv3 supplied credentials are correct. If the error persists",301288
"The TRAPD process was unable to add an SNMP v1 host entryRecommended Action: Verify that the supplied SNMP v1 trap host entry is valid. If the error persists",301290
"The TRAPD process was unable to add an SNMP v1 community targetRecommended Action: Verify that the supplied SNMP v1 trap host entry is valid. If the error persists",301291
"The TRAPD process has reached the maximum number of SNMP v3 inform hostsRecommended Action: Remove the existing SNMP v3 inform host to add a new entry",301292
"No description available.",301298
"No description available.",301299
"[line:%d] Error Setting the V2C Host Parameter ([communityName:%s])No description available.",301300
"No description available.",301303
"No description available.",301304
"No description available.",301305
"No description available.",301306
"No description available.",301307
"No description available.",301308
"No description available.",301309
"No description available.",301310
"No description available.",301312
"No description available.",301316
"No description available.",301317
"No description available.",301318
"No description available.",301319
"No description available.",301320
"No description available.",301330
"No description available.",301332
"No description available.",301333
"No description available.",301344
"No description available.",301345
"No description available.",301405
"No description available.",301409
"No description available.",301410
"No description available.",301411
"No description available.",301412
"No description available.",301413
"No description available.",301414
"No description available.",301415
"No description available.",301416
"No description available.",301417
"No description available.",301418
"No description available.",301422
"No description available.",301423
"No description available.",301424
"No description available.",301425
"No description available.",301426
"No description available.",301428
"No description available.",301429
"No description available.",301430
"No description available.",301431
"No description available.",301432
"No description available.",301433
"No description available.",301434
"The controller only accepts config sync requests from the active MMS server. This syslog indicates the config sync was generated from a unrecognized IP address.",301436
"Unexpected condition occurred in the process manager (nanny) Recommended Action: Contact your support provider30 | System Messages ArubaOS 6",303000
"Unexpected condition occurred in the process manager (nanny) Recommended Action: Contact your support provider",303001
"Failed to open console while starting process Recommended Action: Contact your support provider",303003
"Failed to exec process.Recommended Action: Contact your support provider",303004
